Barrier Token,Cost: 1,Universal,4 Ability armor
Bump Juice,Cost: 1,Fury,Active:Restore 50 Health.|15s.Charges: 2
Cast Token,Cost: 1,Universal,6 Power
Chrono-Tonic,Cost: 1,Intellect,Active:For 15 seconds +3.6 Health regeneration and +10% Cooldown reduction.|15s.Charges: 2
Fiend Elixir,Cost: 1,Corruption,Active:For 15 seconds +2.28 Mana regeneration,and upon receiving damage restore 12 Mana.|15s.Charges: 2
Guard Token,Cost: 1,Universal,7 Basic armor
Health Potion,Cost: 1,Universal,Active:For 15 seconds restore 90 Health.|15s.Charges: 2
Health Token,Cost: 1,Universal,50 Health
Hunter's Drink,Cost: 1,Growth,Active:For 15 seconds +3.6 Health regeneration and aditiondal 0,6xPlayer level.|15s.Charges: 2
Jungle Drink,Cost: 1,Growth,Active:For 15 seconds +6 damage and +3.6 Health regeneration.|15s.Charges: 2
Mana Potion,Cost: 1,Universal,Active:For 15 seconds restore 57 Mana.|15s.Charges: 2
Mender's Phial,Cost: 1,Order,Active:For 15 seconds +4.37 Health regeneration and for 7 seconds +3.8 Mana regeneration to nearby allies.|15s.Charges: 2
Scout's Ward,Cost: 1,Universal,Unique Active:Place a Ward to reveal the surrounding area for 1.5 minutes.|60s.Charges: 1
Shaman's Drink,Cost: 1,Growth,Active:For 15 seconds +2.28 Mana regeneration and aditiondal 0,3xPlayer level. |15s.Charges: 2
Shepard's Phial,Cost: 1,Order,Active:For 15 seconds +2.85 Mana regeneration and for 7 seconds +6 Health regeneration to nearby allies.|15s.Charges: 2
Strike Token,Cost: 1,Universal,6 Power
Vampiric Elixir,Cost: 1,Corruption,Active:For 15 seconds gain +5% Lifesteal and +3.6 Health regeneration.|15s.Charges: 2
Zap Juice,Cost: 1,Fury,Active:Restore 35 Mana.|15s.Charges: 2
Flashfire Piston,Cost: 2,Fury,11 Attack Speed|Fully Upgraded Bonus:6 Power
Hatespitter,Cost: 2,Fury,2 Ability penetration|0.3 Mana Regen|Fully Upgraded Bonus:0.3 Mana Regen
Healer Token,Cost: 2,Universal,2.8 Health Regen
Madstone Gem,Cost: 2,Fury,12 Power|Fully Upgraded Bonus:5.5 Attack Speed
Rageheart Engine,Cost: 2,Fury,4 Basic penetration|0.3 Mana Regen|Fully Upgraded Bonus:0.3 Mana Regen
Redeye Nitro,Cost: 2,Fury,5.5 Attack Speed|4% Crit Chance|Fully Upgraded Bonus:5.5 Attack Speed
Adamant Edge,Cost: 3,Universal,6 Power|50 Health|Fully Upgraded Bonus:12 Power
Amp Crystal,Cost: 3,Intellect,6 Power|30 Mana|Fully Upgraded Bonus:60 Mana
Amulet of the Veteran,Cost: 3,Universal,100 Health|Fully Upgraded Bonus:6 Power|50 Health
Armavore,Cost: 3,Fury,2 Ability penetration|Unique Passive:On hit with basic attack,restore 2 Mana.
Assassin's Ward,Cost: 3,Corruption,6 Power|4 Basic penetration|2.5% Lifesteal|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Backstabber,Cost: 3,Corruption,4% Crit Chance|Unique Passive:+24% Critical chance versus heroes not in combat.
Beastmaster's Scythe,Cost: 3,Universal,50 Health|5.5 Attack Speed|Unique Passive:+15% Damage bonus against Jungle minions.
Berzerker Drive,Cost: 3,Fury,6 Power|0.3 Mana Regen|5.5 Attack Speed|Fully Upgraded Bonus:5.5 Attack Speed
Bloodsoaked Armor,Cost: 3,Corruption,7 Basic armor|5.5 Attack Speed|Unique Active:For 6 seconds,when hit by a basic attack,apply a Bleed stack to attacker (Max 10 stacks).
Bone Dice,Cost: 3,Fury,4% Crit Chance|Unique Passive:While Critically wounded,gain +20% critical chance.
Brand of the Ironeater,Cost: 3,Fury,4% Crit Chance|5% Lifesteal|Fully Upgraded Bonus:2.5% Lifesteal
Brawler's Scythe,Cost: 3,Universal,6 Power|30 Mana|Unique Passive:+15% Damage bonus against Jungle minions.
Brawler's Ward,Cost: 3,Universal,6 Power|30 Mana|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Brightsteel Plate,Cost: 3,Order,7 Basic armor|8% Crit Chance|Fully Upgraded Bonus:7 Basic armor
Burnblood Powder,Cost: 3,Fury,6 Power|0.3 Mana Regen|5.5 Attack Speed|Fully Upgraded Bonus:0.3 Mana Regen
Burst-Engine,Cost: 3,Intellect,6 Power|0.3 Mana Regen|Fully Upgraded Bonus:12 Power
Celestine Diamond,Cost: 3,Order,6 Power|0.3 Mana Regen|30 Mana|Fully Upgraded Bonus:30 Mana
Circlet of Health,Cost: 3,Universal,30 Mana|Unique Passive:+2.8 Health regeneration to nearby allies.
Circlet of Mana,Cost: 3,Universal,50 Health|Unique Passive:+0.6 Mana regeneration to nearby allies.
Combustion,Cost: 3,Fury,0.3 Mana Regen|Unique Passive:While Burning,gain +16.5 Attack speed and +160 Movement speed.
Crystal Conduit,Cost: 3,Intellect,2 Ability penetration|30 Mana|Fully Upgraded Bonus:60 Mana
Eldermage Amulet,Cost: 3,Universal,6 Power|50 Health|Fully Upgraded Bonus:100 Health
Elysian Diamond,Cost: 3,Order,6 Power|0.3 Mana Regen|50 Health|Fully Upgraded Bonus:50 Health
Executioner's Scythe,Cost: 3,Corruption,6 Power|4% Crit Chance|Unique Passive:+15% Damage bonus against Jungle minions.
Fountain Spike,Cost: 3,Universal,6 Power|30 Mana|Fully Upgraded Bonus:6 Power|30 Mana
Fracturing Spike,Cost: 3,Intellect,4 Basic penetration|0.3 Mana Regen|Fully Upgraded Bonus:12 Power
Genesis Torch,Cost: 3,Order,4 Basic penetration|4 Ability armor|0.3 Mana Regen|Fully Upgraded Bonus:0.3 Mana Regen
Gift of the Rains,Cost: 3,Growth,0.3 Mana Regen|1.4 Health Regen|Fully Upgraded Bonus:2.8 Health Regen
Golden Veil,Cost: 3,Order,4 Ability armor|8% Crit Chance|Fully Upgraded Bonus:4 Ability armor
Guardian's Scythe,Cost: 3,Universal,6 Power|50 Health|Unique Passive:+15% Damage bonus against Jungle minions.
Guardian's Ward,Cost: 3,Universal,6 Power|50 Health|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Hemorrhage,Cost: 3,Fury,0.3 Mana Regen|Unique Passive:While Bleeding,gain +16.5 Attack speed and +18 damage.
Hex of the Devastator,Cost: 3,Corruption,2 Ability penetration|4% Crit Chance|Fully Upgraded Bonus:8% Crit Chance
Hinder-Beast,Cost: 3,Fury,50 Health|Unique Passive:While carryung River buff,on hit basic attack,slow target by 5% for 1.5 seconds.
Impact Hammer,Cost: 3,Fury,12 Power|4% Crit Chance|Fully Upgraded Bonus:4% Crit Chance
Irradiate,Cost: 3,Fury,5.5 Attack Speed|Unique Passive:While Poisoned,gain +7.5% Cooldown reduction and +19.5 damage.
Killdozer Horn,Cost: 3,Fury,30 Mana|Unique Passive:+6 damage to nearby allies minions.
Lantern of Spring,Cost: 3,Order,2 Ability penetration|7 Basic armor|0.3 Mana Regen|Fully Upgraded Bonus:0.3 Mana Regen
Lord's Siphon,Cost: 3,Universal,30 Mana|50 Health|0.3 Mana Regen|Unique Passive:Basic attacks on Jungle Minions,restore 8 health.
Lord's Ward,Cost: 3,Universal,30 Mana|50 Health|0.3 Mana Regen|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Magna-Lens,Cost: 3,Intellect,2 Ability penetration|0.3 Mana Regen|Fully Upgraded Bonus:12 Power
Magus' Siphon,Cost: 3,Universal,6 Power|30 Mana|Unique Passive:Basic attacks on Jungle Minions,restore 8 health.
Magus' Ward,Cost: 3,Universal,6 Power|30 Mana|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Meltdown,Cost: 3,Fury,12 Power|2 Ability penetration|Fully Upgraded Bonus:6 Power
Merciless,Cost: 3,Fury,4% Crit Chance|5.5 Attack Speed|Unique Passive:+12% Critical chance against Bleeding target.
Micro-Nuke,Cost: 3,Fury,12 Power|4% Crit Chance|Fully Upgraded Bonus:6 Power
Mind Flow,Cost: 3,Intellect,30 Mana|Unique Passive:+10% Cooldown reduction,while over 50%Mana.
Muta-Gem,Cost: 3,Intellect,6 Power|30 Mana|Fully Upgraded Bonus:0.6 Mana Regen
Nirvana Stone,Cost: 3,Order,4% Crit Chance|1.4 Health Regen|0.3 Mana Regen|Fully Upgraded Bonus:4% Crit Chance
Oasis Siphon,Cost: 3,Growth,1.4 Health Regen|2.5% Lifesteal|Unique Passive:Basic attacks on Jungle Minions,restore 8 health.
Offensive Maneuvers,Cost: 3,Order,8% Crit Chance|Unique Passive:+10 Physical armor and +Energy armor against basic attacks.
Pendulum of Lords,Cost: 3,Universal,30 Mana|50 Health|0.3 Mana Regen|Fully Upgraded Bonus:0.3 Mana Regen
Quartzblade,Cost: 3,Order,6 Power|0.3 Mana Regen|50 Health|Fully Upgraded Bonus:6 Power
Reaper's Siphon,Cost: 3,Corruption,6 Power|4% Crit Chance|Unique Passive:Basic attacks on Jungle Minions,restore 8 health.
Reptilian Claw,Cost: 3,Growth,1.4 Health Regen|4% Crit Chance|Fully Upgraded Bonus:2.8 Health Regen
Riftmagus Scepter,Cost: 3,Universal,6 Power|4% Crit Chance|Fully Upgraded Bonus:12 Power
Rust-Breaker,Cost: 3,Fury,12 Power|4 Basic penetration|Fully Upgraded Bonus:6 Power
Sage's Siphon,Cost: 3,Universal,6 Power|50 Health|Unique Passive:Basic attacks on Jungle Minions,restore 8 health.
Sage's Ward,Cost: 3,Universal,6 Power|50 Health|Unique Active:Place a Shadow Ward to reveal the surrounding area for 1.5 minutes.
Savage Remedy,Cost: 3,Growth,30 Mana|1.4 Health Regen|Fully Upgraded Bonus:2.8 Health Regen
Scourging Tails,Cost: 3,Corruption,6 Power|Active: For 6 seconds,on hit with ability shred 20 Armor from target(s) for 15 seconds.
Seek and Destroy,Cost: 3,Corruption,6 Power|Unique Active:For 6 seconds +40 Movement speed +5.5 Attack speed for each nearby Bleeding unit. (Max - +280 Movement speed and +38.5 Attack speed)
Shadow Scroll,Cost: 3,Corruption,6 Power|2 Ability penetration|Fully Upgraded Bonus:4 Ability penetration
